Time [s], Analyzer Name, Decoded Protocol Result,,,,,,,,,,
0.384944333333333,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.385219083333333,SMBus,Word 0x0000 ACK,,,,,,,,,,
0.385589416666667,SMBus,PEC 0x25 OK,,,,,,,,,,
0.386759,SMBus,Write address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.386909166666667,SMBus,Command RelativeStateOfCharge 0x0D,,,,,,,,,,
0.387270166666667,SMBus,Read address 0x0B ACK Protocol=Read word,,,,,,,,,,
0.387538583333333,SMBus,Word 0x0000 ACK,,,,,,,,,,
0.387914916666667,SMBus,PEC 0x33 OK,,,,,,,,,,
0.389097666666667,SMBus,Write address 0x0B ACK Protocol=Block write,,,,,,,,,,
0.389247833333333,SMBus,Command ManufacturerData 0x23,,,,,,,,,,
0.389621583333333,SMBus,Read address 0x0B ACK Protocol=Block write,,,,,,,,,,
0.389941083333333,SMBus,Byte count 0x0E,,,,,,,,,,
0.390133833333333,SMBus,Byte 0x01 ACK,,,,,,,,,,
0.390312583333333,SMBus,Byte 0x2D ACK,,,,,,,,,,
0.390492583333333,SMBus,Byte 0x01 ACK,,,,,,,,,,
0.390684083333333,SMBus,Byte 0x2D ACK,,,,,,,,,,
0.390863333333333,SMBus,Byte 0x00 ACK,,,,,,,,,,
0.39105425,SMBus,Byte 0x00 ACK,,,,,,,,,,
0.391170583333333,SMBus,Byte 0x01 ACK,,,,,,,,,,
0.391362,SMBus,Byte 0x00 ACK,,,,,,,,,,
0.391540833333333,SMBus,Byte 0x62 NACK,,,,,,,,,,
0.391701666666667,SMBus,Byte 0x07 ACK,,,,,,,,,,
0.391899083333333,SMBus,Byte 0x62 NACK,,,,,,,,,,
0.39207225,SMBus,Byte 0x07 ACK,,,,,,,,,,
0.392269583333333,SMBus,Byte 0x03 NACK,,,,,,,,,,
0.392430083333333,SMBus,Byte 0x18 ACK,,,,,,,,,,
0.392627083333333,SMBus,Bad PEC 0x5F should be 0xD2,,,,,,,,,,
0.39413275,SMBus,Write address 0x0B ACK Protocol=Block write,,,,,,,,,,
0.394282916666667,SMBus,Command <error> 0x30,,,,,,,,,,
0.394643916666667,SMBus,Read address 0x0B ACK Protocol=Block write,,,,,,,,,,
0.395078416666667,SMBus,Byte count 0x0A,,,,,,,,,,
0.395272083333333,SMBus,Byte 0x70 ACK,,,,,,,,,,
0.395433666666667,SMBus,Byte 0x9C ACK,,,,,,,,,,
0.395642083333333,SMBus,Byte 0x5B ACK,,,,,,,,,,
0.395817583333333,SMBus,Byte 0x19 ACK,,,,,,,,,,
0.395970416666667,SMBus,Byte 0x84 ACK,,,,,,,,,,
0.3961785,SMBus,Byte 0x4A ACK,,,,,,,,,,
0.39632825,SMBus,Byte 0x97 ACK,,,,,,,,,,
0.396536583333333,SMBus,Byte 0x00 ACK,,,,,,,,,,
0.396714916666667,SMBus,Byte 0x0B ACK,,,,,,,,,,
0.39690375,SMBus,Byte 0x00 ACK,,,,,,,,,,
